Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
World,WLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.111266251,6.189808125,6.411808549,6.483908825,6.329692112,6.223899121,5.973740197,5.774809013,5.824043529,5.897888087,5.759519669,5.58822342,6.587314497,6.045191455,5.234261885,4.849571142,4.805872753,4.790972411
World,WLD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,36.2,35.3,33.7,32.2,30.3,28.3,27,25.3,24.1,11.8,11.1,..,11.4,11.3,10.9,10.6,10.4,..
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,3.38982E+13,3.36904E+13,3.49915E+13,3.92433E+13,4.42254E+13,4.79005E+13,5.19235E+13,5.85258E+13,6.43117E+13,8.18391E+13,8.7051E+13,8.84833E+13,8.59128E+13,9.81405E+13,1.02252E+14,1.06742E+14,1.10983E+14,..
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.555061825,2.038553092,2.311070967,3.09383471,4.501845397,4.05453629,4.476169589,4.413844733,2.092394584,3.451830091,3.273958264,2.679117575,-2.899223103,6.413349615,3.403054837,2.94859475,2.871949642,..
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,5501.264218,5394.685125,5530.021043,6122.434461,6811.481958,7284.31331,7796.34931,8677.571027,9415.357861,10747.76431,11309.38308,11376.08181,10937.68462,12390.66867,12798.16585,13236.7164,13631.20431,..
World,WLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,"Population, total",SP.POP.TOTL,6161884811,6245112906,6327557399,6409750441,6492769815,6575841506,6659977025,6744489399,6830513541,7614523410,7697233736,7778008621,7854748424,7920514854,7989545217,8064057930,8141808945,..
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.64972247,67.9443971,68.23056331,68.5149633,68.7702568,69.11058112,69.46812055,69.80410318,70.00347852,72.36512303,72.64336863,72.86863439,72.18196838,71.21490867,72.96755815,73.3288401,73.48038029,..
World,WLD,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.11987305,99.16448212,99.44416046,100.9414063,101.5872726,101.7175598,101.7273636,102.6860428,102.9025574,101.7506638,99.14450836,99.14494324,99.63249207,99.44741058,100.3708572,100.7287903,102.1594009,..
World,WLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.4653145,22.87061019,23.11672821,23.86209463,25.72266967,26.99568353,28.64121394,29.56938298,30.73182648,28.09857758,28.96455495,28.02864111,26.14243828,28.6484687,30.89243133,29.15260889,29.10763445,..
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,78.22140086,78.71524322,79.10079873,79.96490103,79.95214767,80.70133108,81.3534633,81.97115767,82.66817238,88.93176285,89.79738786,90.10839202,90.39568761,91.33426646,91.28831049,91.59917744,..,..
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.589,7.611,7.681,7.633,7.598,7.551,7.553,7.562,7.629,7.626,7.652,6.51,7.859,6.38,4.822,4.172,4.173,4.219
India,IND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,46.4,..,..,..,..,..,..,..,..,..,5.3,..,..,..
India,IND,GDP (current US$),NY.GDP.MKTP.CD,4.68396E+11,4.8544E+11,5.14939E+11,6.07701E+11,7.09153E+11,8.20384E+11,9.4026E+11,1.21674E+12,1.1989E+12,2.65147E+12,2.70293E+12,2.83561E+12,2.67485E+12,3.16727E+12,3.34611E+12,3.63849E+12,3.90989E+12,..
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.840991157,4.823966266,3.803975321,7.860381476,7.922936612,7.923430621,8.060732572,7.660815067,3.086698059,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.494765524,..
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,442.7502189,450.3579005,469.149929,544.1431335,624.2588265,710.4880804,801.6683537,1021.887077,992.5195849,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2347.448294,2530.120313,2694.737809,..
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.00943591,3.779293122,4.297152039,3.805858995,3.767251735,4.24634362,5.796523376,6.372881356,8.349267049,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472,6.699034141,5.649143189,4.95303551,..
India,IND,Gini index,SI.POV.GINI,..,..,..,..,27.7,..,..,..,..,..,..,..,..,..,25.5,..,..,..
India,IND,"Population, total",SP.POP.TOTL,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791,..
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.749,63.158,63.649,64.086,64.484,64.939,65.373,65.803,66.247,70.068,70.415,70.746,70.156,67.282,71.698,72.003,72.235,..
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,98.80896759,96.90148926,97.44745636,105.6649475,..,..,..,113.3304062,113.8277512,101.8869813,101.0979553,99.5039235,101.2912541,102.3161241,111.0844556,112.0312316,120.5203686,111.0337832
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.99723631,12.55837963,14.26438392,14.94791386,17.85912496,19.60524669,21.26794142,20.79969975,24.09735726,18.79176484,19.9278286,18.6642649,18.68247693,21.39915833,23.2515412,21.44869778,21.16184605,..
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.3,62,62.3,65.4,64.4,68.8,67.9,72.3,74.1,91.8,95.7,95.9,96.5,99.6,99.2,99.5,..,..
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.47,4.31,4.56,5,4.55,4.98,4.67,4.59,4.615
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,47.8,..,..,32.9,..,..,26.1,1.6,0.7,0,0,0,0,..,..,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.22375E+12,1.35504E+12,1.48982E+12,1.6839E+12,1.9842E+12,2.31755E+12,2.7915E+12,3.60406E+12,4.66735E+12,1.25376E+13,1.41478E+13,1.45602E+13,1.49964E+13,1.82017E+13,1.83168E+13,1.82704E+13,1.87438E+13,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.586432018,8.312638871,9.243393266,10.11819286,10.13140736,11.45823846,12.67467517,14.14998549,9.670245886,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592,..
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,969.1995137,1065.405976,1163.559577,1306.972454,1530.927262,1777.644968,2129.25697,2734.727099,3523.443021,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.347811227,0.719125609,-0.731970902,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136,1.973575557,0.234836829,0.218128938,..
China,CHN,Gini index,SI.POV.GINI,..,..,42,..,..,40.9,..,..,43,39.1,38.5,38.2,37.1,35.7,36,..,..,..
